date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:22	69/69	---M-Z	200	added ('OK')	text/plain	date:Wed,%2005%20Oct%202022%2020:52:23%20GMT	https://www.extasismotel.com.co/robots.txt		(from )
15:52:23	153439/153439	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2020:52:24%20GMT	https://www.extasismotel.com.co/	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/index.html	(from )
15:52:25	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2005%20Oct%202022%2020:52:26%20GMT	https://www.extasismotel.com.co/xmlrpc.php	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/xmlrpc.0.delayed	(from https://www.extasismotel.com.co/)
15:52:26	21153/21153	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20May%202018%2023:08:31%20GMT	https://www.extasismotel.com.co/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.7.6	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider7a2d.css	(from https://www.extasismotel.com.co/)
15:52:26	1722/1722	---M-Z	200	added ('OK')	application/rss+xml	etag:%2286e8113787a66f257b2d44a5613fe701%22	https://www.extasismotel.com.co/comments/feed/	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/comments/feed/index.html	(from https://www.extasismotel.com.co/)
15:52:26	15721/15721	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a851e7835d9a73e80b3732eed876762f%22	https://www.extasismotel.com.co/feed/	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/feed/index.html	(from https://www.extasismotel.com.co/)
15:52:26	3405/3405	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Jun%202017%2016:21:58%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-preloader.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-preloader87b5.css	(from https://www.extasismotel.com.co/)
15:52:27	4099/4099	---M-Z	200	added ('OK')	text/css	date:Fri,%2030%20Jun%202017%2022:55:02%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-reset.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-reset87b5.css	(from https://www.extasismotel.com.co/)
15:52:28	10841/10841	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Feb%202017%2023:02:46%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-grid.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-grid87b5.css	(from https://www.extasismotel.com.co/)
15:52:29	270781/270781	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Nov%202017%2017:40:28%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/style.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/style87b5.css	(from https://www.extasismotel.com.co/)
15:52:30	528/528	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Aug%202016%2019:54:38%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem-child/style.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem-child/style87b5.css	(from https://www.extasismotel.com.co/)
15:52:31	18461/18461	---M-Z	200	added ('OK')	text/css	date:Fri,%2022%20Sep%202017%2020:56:30%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-header.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-header87b5.css	(from https://www.extasismotel.com.co/)
15:52:32	101584/101584	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2018:16:36%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-widgets.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-widgets87b5.css	(from https://www.extasismotel.com.co/)
15:52:33	55640/55640	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Sep%202017%2018:05:16%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-new-css.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-new-css87b5.css	(from https://www.extasismotel.com.co/)
15:52:34	20076/20076	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Aug%202016%2023:12:32%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-perevazka-css.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-perevazka-css87b5.css	(from https://www.extasismotel.com.co/)
15:52:36	125145/125145	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Jun%202022%2000:58:30%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem-child/css/custom-MyOyBvUh.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem-child/css/custom-MyOyBvUh87b5.css	(from https://www.extasismotel.com.co/)
15:52:36	462190/462190	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20May%202018%2023:05:27%20GMT	https://www.extasismotel.com.co/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.7	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/js_composer/assets/css/js_composer.min8b06.css	(from https://www.extasismotel.com.co/)
15:52:36	33616/33616	---M-Z	200	added ('OK')	text/css	date:Fri,%2027%20Oct%202017%2020:40:00%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-additional-blog-1.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-additional-blog-187b5.css	(from https://www.extasismotel.com.co/)
15:52:37	89400/89400	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Sep%202017%2002:07:24%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-hovers.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-hovers87b5.css	(from https://www.extasismotel.com.co/)
15:52:38	8069/8069	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Feb%202017%2022:56:34%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-lazy-loading-animations.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-lazy-loading-animations87b5.css	(from https://www.extasismotel.com.co/)
15:52:39	13706/13706	---M-Z	200	added ('OK')	text/css	date:Fri,%2009%20Jun%202017%2005:49:40%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/js/fancyBox/jquery.fancybox.min.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/js/fancyBox/jquery.fancybox.min87b5.css	(from https://www.extasismotel.com.co/)
15:52:40	3673/3673	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202017%2019:49:14%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-vc_elements.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-vc_elements87b5.css	(from https://www.extasismotel.com.co/)
15:52:41	1683/1683	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20May%202018%2023:07:01%20GMT	https://www.extasismotel.com.co/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.2	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/contact-form-7/includes/css/stylesce52.css	(from https://www.extasismotel.com.co/)
15:52:42	7340/7340	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Sep%202018%2003:55:16%20GMT	https://www.extasismotel.com.co/wp-content/plugins/meta-slider-and-carousel-with-lightbox/assets/css/magnific-popup.css?ver=1.1.4	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/meta-slider-and-carousel-with-lightbox/assets/css/magnific-popup8daf.css	(from https://www.extasismotel.com.co/)
15:52:43	1590/1590	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Sep%202018%2003:55:16%20GMT	https://www.extasismotel.com.co/wp-content/plugins/meta-slider-and-carousel-with-lightbox/assets/css/slick.css?ver=1.1.4	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/meta-slider-and-carousel-with-lightbox/assets/css/slick8daf.css	(from https://www.extasismotel.com.co/)
15:52:44	4448/4448	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Sep%202018%2003:55:16%20GMT	https://www.extasismotel.com.co/wp-content/plugins/meta-slider-and-carousel-with-lightbox/assets/css/wp-igsp-public.css?ver=1.1.4	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/meta-slider-and-carousel-with-lightbox/assets/css/wp-igsp-public8daf.css	(from https://www.extasismotel.com.co/)
15:52:45	39895/39895	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20May%202018%2023:13:54%20GMT	https://www.extasismotel.com.co/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.7.4	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/revslider/public/assets/css/settings26ce.css	(from https://www.extasismotel.com.co/)
15:52:45	296/296	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Aug%202016%2021:49:14%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-js_composer_columns.css?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/css/thegem-js_composer_columns87b5.css	(from https://www.extasismotel.com.co/)
15:52:46	16282/16282	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Jun%202022%2001:26:44%20GMT	http://www.extasismotel.com.co/wp-content/uploads/pum/pum-site-styles.css?generated=1655256404&ver=1.7.30	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/pum/pum-site-stylesa7b2.css	(from https://www.extasismotel.com.co/)
15:52:47	8851/8851	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202020%2014:23:59%20GMT	https://www.extasismotel.com.co/wp-content/plugins/forget-about-shortcode-buttons/public/css/button-styles.css?ver=2.1.2	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/forget-about-shortcode-buttons/public/css/button-styles431f.css	(from https://www.extasismotel.com.co/)
15:52:48	388/388	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Sep%202018%2003:42:06%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem-child/css/custom-style.css?ver=1.0	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem-child/css/custom-style5152.css	(from https://www.extasismotel.com.co/)
15:52:49	2234/2234	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2029%20Aug%202016%2020:09:58%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/js/thegem-settings-init.js?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/js/thegem-settings-init87b5.js	(from https://www.extasismotel.com.co/)
15:52:50	117557/117557	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20May%202018%2023:08:31%20GMT	https://www.extasismotel.com.co/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js?ver=1.19.0	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/LayerSlider/static/layerslider/js/greensockb3a6.js	(from https://www.extasismotel.com.co/)
15:52:51	96874/96874	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2005%20Sep%202019%2010:30:49%20GMT	https://www.extasismotel.com.co/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-includes/js/jquery/jqueryb8ff.js	(from https://www.extasismotel.com.co/)
15:52:51	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2011:11:28%20GMT	https://www.extasismotel.com.co/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://www.extasismotel.com.co/)
15:52:53	116611/116611	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20May%202018%2023:08:31%20GMT	https://www.extasismotel.com.co/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=6.7.6	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery7a2d.js	(from https://www.extasismotel.com.co/)
15:52:53	23831/23831	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20May%202018%2023:08:31%20GMT	https://www.extasismotel.com.co/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js?ver=6.7.6	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions7a2d.js	(from https://www.extasismotel.com.co/)
15:52:54	5051/5051	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Mar%202017%2015:51:02%20GMT	https://www.extasismotel.com.co/wp-content/themes/thegem/js/thegem-fullwidth-loader.js?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/themes/thegem/js/thegem-fullwidth-loader87b5.js	(from https://www.extasismotel.com.co/)
15:52:56	110564/110564	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20May%202018%2023:13:54%20GMT	https://www.extasismotel.com.co/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.7.4	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min26ce.js	(from https://www.extasismotel.com.co/)
15:52:56	64971/64971	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20May%202018%2023:13:54%20GMT	https://www.extasismotel.com.co/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.7.4	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min26ce.js	(from https://www.extasismotel.com.co/)
15:52:57	706/706	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20May%202018%2023:08:52%20GMT	https://www.extasismotel.com.co/wp-content/plugins/zilla-likes/scripts/zilla-likes.js?ver=4.9.21	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/plugins/zilla-likes/scripts/zilla-likes87b5.js	(from https://www.extasismotel.com.co/)
15:52:59	878/878	---M-Z	200	added ('OK')	text/xml	date:Wed,%2005%20Oct%202022%2020:53:00%20GMT	https://www.extasismotel.com.co/xmlrpc.php?rsd	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/xmlrpc0db0.php	(from https://www.extasismotel.com.co/)
15:52:59	59918/59918	---M-Z	200	added ('OK')	application/json	date:Wed,%2005%20Oct%202022%2020:53:00%20GMT	https://www.extasismotel.com.co/wp-json/	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-json/index.html	(from https://www.extasismotel.com.co/)
15:53:00	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2000:49:12%20GMT	https://www.extasismotel.com.co/wp-includes/wlwmanifest.xml	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-includes/wlwmanifest.xml	(from https://www.extasismotel.com.co/)
15:53:01	2245/2245	---M-Z	200	added ('OK')	application/json	date:Wed,%2005%20Oct%202022%2020:53:02%20GMT	https://www.extasismotel.com.co/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.extasismotel.com.co%2F	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-json/oembed/1.0/embed1857.json	(from https://www.extasismotel.com.co/)
15:53:02	2344/2344	---M-Z	200	added ('OK')	text/xml	date:Wed,%2005%20Oct%202022%2020:53:04%20GMT	https://www.extasismotel.com.co/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.extasismotel.com.co%2F&format=xml	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-json/oembed/1.0/embed9103	(from https://www.extasismotel.com.co/)
15:53:04	32988/32988	---M--	200	added ('OK')	image/x-icon	date:Thu,%2024%20May%202018%2005:35:01%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/05/favicon.ico	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/05/favicon.ico	(from https://www.extasismotel.com.co/)
15:53:04	1197/1197	---M--	200	added ('OK')	image/png	date:Wed,%2023%20May%202018%2023:52:10%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2016/08/22.png	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2016/08/22.png	(from https://www.extasismotel.com.co/)
15:53:06	48098/48098	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20May%202018%2023:51:36%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2016/08/p1.jpg?id=27392	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2016/08/p11061.jpg	(from https://www.extasismotel.com.co/)
15:53:06	67617/67617	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:21%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/3.jpg?id=29044	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/31eda.jpg	(from https://www.extasismotel.com.co/)
15:53:07	10702/10702	---M--	200	added ('OK')	image/png	date:Mon,%2010%20Sep%202018%2013:24:47%20GMT	https://www.extasismotel.com.co/wp-content/uploads/thegem-logos/logo_5b23fe9b6800e9f09d902d3010b254ea_1x.png	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/thegem-logos/logo_5b23fe9b6800e9f09d902d3010b254ea_1x.png	(from https://www.extasismotel.com.co/)
15:53:09	124006/124006	---M--	200	added ('OK')	image/jpeg	date:Fri,%2019%20Jun%202020%2001:35:47%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2020/06/BANNER-PRINCIPAL-v2.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2020/06/BANNER-PRINCIPAL-v2.jpg	(from https://www.extasismotel.com.co/)
15:53:09	72643/72643	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2020:53:11%20GMT	https://www.extasismotel.com.co/nuestra-carta/	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/nuestra-carta/index.html	(from https://www.extasismotel.com.co/)
15:53:10	75082/75082	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2020:53:11%20GMT	https://www.extasismotel.com.co/tips-extasis/	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/tips-extasis/index.html	(from https://www.extasismotel.com.co/)
15:53:10	108398/108398	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2020:53:11%20GMT	https://www.extasismotel.com.co/home/habitaciones/	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/home/habitaciones/index.html	(from https://www.extasismotel.com.co/)
15:53:10	1893/1893	---M--	200	added ('OK')	image/png	date:Thu,%2031%20May%202018%2020:02:55%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/05/barra-decorativa-12-300x27.png	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/05/barra-decorativa-12-300x27.png	(from https://www.extasismotel.com.co/)
15:53:11	68887/68887	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Oct%202022%2020:53:12%20GMT	https://www.extasismotel.com.co/contacto/	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/contacto/index.html	(from https://www.extasismotel.com.co/)
15:53:11	963/963	---M--	200	added ('OK')	image/png	date:Wed,%2023%20May%202018%2023:51:27%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2016/08/line3.png	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2016/08/line3.png	(from https://www.extasismotel.com.co/)
15:53:13	95323/95323	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:18%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/2.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/2.jpg	(from https://www.extasismotel.com.co/)
15:53:14	75365/75365	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:18%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/2-1024x576.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/2-1024x576.jpg	(from https://www.extasismotel.com.co/)
15:53:14	84350/84350	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:23%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/1.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/1.jpg	(from https://www.extasismotel.com.co/)
15:53:15	62191/62191	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:24%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/1-1024x576.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/1-1024x576.jpg	(from https://www.extasismotel.com.co/)
15:53:16	67617/67617	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:21%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/3.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/3.jpg	(from https://www.extasismotel.com.co/)
15:53:17	61651/61651	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:21%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/3-576x1024.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/3-576x1024.jpg	(from https://www.extasismotel.com.co/)
15:53:18	68543/68543	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:57%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/3-1.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/3-1.jpg	(from https://www.extasismotel.com.co/)
15:53:19	64674/64674	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:58%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/3-1-1024x576.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/3-1-1024x576.jpg	(from https://www.extasismotel.com.co/)
15:53:20	133070/133070	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:55%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/2-1.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/2-1.jpg	(from https://www.extasismotel.com.co/)
15:53:21	100369/100369	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:55%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/2-1-1024x576.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/2-1-1024x576.jpg	(from https://www.extasismotel.com.co/)
15:53:22	103476/103476	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:52%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/1-1.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/1-1.jpg	(from https://www.extasismotel.com.co/)
15:53:23	82718/82718	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:52%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/1-1-1024x576.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/1-1-1024x576.jpg	(from https://www.extasismotel.com.co/)
15:53:25	83764/83764	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:49%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/5.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/5.jpg	(from https://www.extasismotel.com.co/)
15:53:25	77325/77325	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:49%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/5-1024x576.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/5-1024x576.jpg	(from https://www.extasismotel.com.co/)
15:53:26	85587/85587	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:46%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/4.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/4.jpg	(from https://www.extasismotel.com.co/)
15:53:27	73579/73579	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:46%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/4-1024x576.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/4-1024x576.jpg	(from https://www.extasismotel.com.co/)
15:53:28	102347/102347	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:43%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/presidencial.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/presidencial.jpg	(from https://www.extasismotel.com.co/)
15:53:29	50126/50126	---M--	200	added ('OK')	image/jpeg	date:Wed,%2012%20Sep%202018%2022:56:44%20GMT	https://www.extasismotel.com.co/wp-content/uploads/2018/09/presidencial-1024x576.jpg	C:/Users/New%20User/Desktop/ejemplo/city/www.extasismotel.com.co/wp-content/uploads/2018/09/presidencial-1024x576.jpg	(from https://www.extasismotel.com.co/)
